TPU primary verification suite
================================================================================================
id name                   M     K     N  qmult qshift   cmds  wrows  arows  rrows
0  ub_load_read          32    32    32      1      0      2      0     32     32
1  gemm_basic            32    32    32      1      9      5     32     32     32
2  gemm_signed           32    32    32      1     13      5     32     32     32
3  gemm_multi_k          32    64    32      1     10      9     64     64     32
4  weight_reuse          64    32    32      1      9      8     32     64     64
5  multi_tile_slot       64    64    64      1     14     28    128    128    128
6  requant_relu          32    32    32      3     15      5     32     32     32
7  store_read_ub         32    32    32      1      9      6     32     32     64
8  ready_stall           32    32    32      1      9      5     32     32     32
================================================================================================
